# Gogh terminal colour schemes (https://github.com/Gogh-Co/Gogh, data/themes.json),
# trimmed to what a choz theme needs: name|text RRGGBB|desktop RRGGBB.
# The frame colour is derived from the two; see settings.rs.
3024 Day|4A4543|F7F7F7
Pencil Dark|F1F1F1|212121
Pencil Light|424242|F1F1F1
Peppermint|C7C7C7|000000
Pixiefloss|D1CAE8|241F33
Pnevma|D0D0D0|1C1C1C
Powershell|F6F6F7|052454
Predawn|F1F1F1|282828
Pro|F2F2F2|000000
Purple People Eater|C9D1D9|161B22
Quiet|B9B9B9|141414
Red Alert|FFFFFF|762423
Red Sands|D7C9A7|7A251E
Relaxed|D9D9D9|353A44
Rippedcasts|FFFFFF|2B2B2B
Rosé Pine|E0DEF4|191724
Rosé Pine Dawn|575279|FAF4ED
Rosé Pine Moon|E0DEF4|232136
Royal|514968|100815
Sat|23476A|758480
Sea Shells|DEB88D|09141B
Seafoam Pastel|D4E7D4|243435
Selenized Black|B9B9B9|181818
Selenized Dark|ADBCBC|103C48
Selenized Light|53676D|FBF3DB
Selenized White|474747|FFFFFF
Seoul256|D0D0D0|3A3A3A
Seoul256 Light|4E4E4E|DADADA
Seoulism|ECECE9|101114
Seti|CACECD|111213
Shaman|405555|001015
Shel|4882CD|2A201F
Slate|35B1D2|222222
Smyck|F7F7F7|242424
Snazzy|EFF0EB|282A36
Soft Server|99A3A2|242626
Solarized Darcula|D2D8D9|3D3F41
Solarized Dark Higher Contrast|9CC2C3|001E27
Sonokai|E2E2E3|2C2E34
Spacedust|ECF0C1|0A1E24
Spacegray|B3B8C3|20242D
Spacegray Eighties|BDBAAE|222222
Spacegray Eighties Dull|C9C6BC|222222
Sparky|F4F5F0|072B31
Spring|ECF0C1|0A1E24
Square|A1A1A1|0A1E24
Srcery|FCE8C3|1C1B19
Summer Pop|FFFFFF|272822
Sundried|C9C9C9|1A1818
Sweet Eliverlara|C3C7D1|282C34
Sweet Terminal|FFFFFF|222235
Symphonic|FFFFFF|000000
Synthwave|FFFFFF|262335
Synthwave Alpha|F2F2E3|241B30
Teerb|D0D0D0|262626
Tempus Autumn|A9A2A6|302420
Tempus Classic|AEADAF|232323
Tempus Dawn|4A4B4E|EFF0F2
Tempus Day|464340|F8F2E5
Tempus Dusk|A2A8BA|1F252D
Tempus Fugit|4D595F|FFF5F3
Tempus Future|B4ABAC|090A18
Tempus Night|E0E0E0|1A1A1A
Tempus Past|53545B|F3F2F4
Tempus Rift|BBBCBC|162C22
Tempus Spring|B5B8B7|283A37
Tempus Summer|A0ABAE|202C3D
Tempus Tempest|B6E0CA|282B2B
Tempus Totus|4A484D|FFFFFF
Tempus Warp|A29FA0|001514
Tempus Winter|8DA3B8|202427
Tender|EEEEEE|282828
Terminal Basic|000000|FFFFFF
Terminix Dark|868A8C|091116
Thayer Bright|F8F8F8|1B1D1E
Tin|FFFFFF|2E2E35
Tiwahu Dark|DDDDDD|181818
Tiwahu Light|181818|DDDDDD
Tokyo Night|C0CAF5|1A1B26
Tokyo Night Light|565A6E|D5D6DB
Tokyo Night Storm|C0CAF5|24283B
Tomorrow|4D4D4C|FFFFFF
Tomorrow Night|C5C8C6|1D1F21
Tomorrow Night Blue|FFFFFF|002451
Tomorrow Night Bright|EAEAEA|000000
Tomorrow Night Eighties|CCCCCC|2D2D2D
Toy Chest|31D07B|24364B
Treehouse|786B53|191919
Twilight|FFFFD4|141414
Ura|23476A|FEFFEE
Urple|877A9B|1B1B23
Vacme|424242|FFFFEC
Vag|D9E6F2|191F1D
Vaombe|F5FFFD|010A08
Vaughn|DCDCCC|25234F
Vs Code Dark+|CCCCCC|1E1E1E
Vs Code Light+|020202|F9F9F9
Warm Neon|AFDAB6|404040
Website|D1B890|132F35
Wez|B3B3B3|000000
Wild Cherry|DAFAFF|1F1726
Wombat|DEDACF|171717
Wryan|999993|101010
Wzoreck|FCFCFA|424043
